,name,club,age,league,nationality,match_played,goals,assists,total,goal_per_matchs,minutes_per_goal
0,Ciro Immobile,Lazio,30,Italy,Italy,26,27,7,34,1.0384615384615385,86
15,Robert Lewandowski,Bayern Munich ,31,Germany,Poland,23,25,3,28,1.0869565217391304,82
13,Erling Haaland,Bor. Dortmund,19,Germany,Norway,21,25,7,32,1.1904761904761905,75
3,Timo Werner,RB Leipzig,23,Germany,Germany,24,21,7,28,0.875,102
8,Cristiano Ronaldo,Juventus,35,Italy,Portugal,21,21,2,23,1.0,90
1,Odsonne Edouard,Celtic,22,Scotland,France,25,20,10,30,0.8,112
11,Shon Weissman,Wolfsberger AC,24,Austria,Israel,20,20,2,22,1.0,90
21,André-Pierre Gignac,Tigres UANL,34,Mexico,France,27,19,4,23,0.7037037037037037,127
17,Alexander Sörloth,Trabzonspor,24,Turkey,Norway,23,19,6,25,0.8260869565217391,108
14,Lionel Messi,FC Barcelona,32,Spain,Argentina,21,18,12,30,0.8571428571428571,105
47,Jean-Pierre Nsame,BSC Young Boys,26,Switzerland,Cameroon,21,18,2,20,0.8571428571428571,105
24,Nikita Rukavytsya,Maccabi Haifa,32,Israel,Australia,26,18,4,22,0.6923076923076923,-126
19,Mauro Quiroga,Necaxa,30,Mexico,Argentina,29,18,6,24,0.6206896551724138,-111
16,Jonathan David,KAA Gent,20,Belgium,Canada,26,18,8,26,0.6923076923076923,-126
18,Dieumerci Mbokani,Royal Antwerp,34,Belgium,DR Congo,27,18,7,25,0.6666666666666666,-121
12,Joe Gormley,Cliftonville,30,Northern Ireland,Northern Ireland,29,18,4,22,0.6206896551724138,-111
5,Kylian Mbappé,Paris SG,21,France,France,20,18,7,25,0.9,100
35,Ivan Trickovski,AEK Larnaca,32,Cyprus,North Macedonia,17,18,2,20,1.0588235294117647,85
36,Kamil Wilczek,Göztepe,32,Turkey,Poland,22,17,3,20,0.7727272727272727,116
87,Juanfri,St Joseph's FC,30,Gibraltar,Spain,11,17,0,17,1.5454545454545454,58
38,Kyrian Nwabueze,KF Laçi,27,Albania,Nigeria,24,17,5,22,0.7083333333333334,127
66,Romelu Lukaku,Inter,26,Italy,Belgium,24,17,2,19,0.7083333333333334,127
48,Kodjo Fo Doh Laba,Al-Ain FC,28,United Arab Emirates,Togo,16,17,3,20,1.0625,84
29,Jamie Vardy,Leicester,33,England,England,25,17,4,21,0.68,-124
7,Wissam Ben Yedder,Monaco,29,Monaco,France,25,17,7,24,0.68,-124
25,Ante Vukusic,NK Olimpija,28,Slovenia,Croatia,23,17,5,22,0.7391304347826086,121
9,Youssef El Arabi,Olympiacos,33,Greece,Morocco,25,17,6,23,0.68,-124
74,Pierre-Emerick Aubameyang,Arsenal,30,England,Gabon,25,17,1,18,0.68,-124
75,João Pedro,Cagliari Calcio,27,Italy,Brazil,25,16,2,18,0.64,-116
67,Patson Daka,RB Salzburg,21,Austria,Zambia,19,16,3,19,0.8421052631578947,106
49,Javon East,Santos FC,24,Costa Rica,Jamaica,27,16,4,20,0.5925925925925926,-105
54,Sergio Agüero,Man City,31,England,Argentina,21,16,3,19,0.7619047619047619,118
42,Mirko Maric,NK Osijek,24,Croatia,Croatia,23,16,5,21,0.6956521739130435,-127
100,Papiss Demba Cissé,Alanyaspor,34,Turkey,Senegal,22,16,1,17,0.7272727272727273,123
76,Eric Fedeli,Murata,28,San Marino,Italy,14,16,2,18,1.1428571428571428,78
88,Abderazak Hamdallah,Al-Nassr,29,Saudi Arabia,Morocco,18,16,2,18,0.8888888888888888,101
62,Moussa Dembélé,Olympique Lyon,23,France,France,26,16,2,18,0.6153846153846154,-110
22,Ariel Lassiter,LD Alajuelense,25,Costa Rica,Costa Rica,36,16,7,23,0.4444444444444444,-54
37,Cyriel Dessers,Heracles Almelo,25,Netherlands,Belgium,25,15,5,20,0.6,-106
30,Mohamed Salah,Liverpool,27,England,Egypt,25,15,6,21,0.6,-106
10,Josip Ilicic,Atalanta,32,Italy,Slovenia,21,15,8,23,0.7142857142857143,126
26,Carlos Vinícius,Benfica,24,Portugal,Brazil,20,15,7,22,0.75,120
124,Bartholomew Ogbeche,Kerala Blasters,35,India,Nigeria,16,15,1,16,0.9375,96
123,Danny Ings,Southampton,27,England,England,28,15,1,16,0.5357142857142857,-88
50,Christoph Monschein,Austria Vienna,27,Austria,Austria,21,15,5,20,0.7142857142857143,126
101,Marcel Hernández,Cartaginés,30,Costa Rica,Cuba,26,15,2,17,0.5769230769230769,-100
43,Júnior Moraes,Shakhtar D.,32,Ukraine,Ukraine,17,15,6,21,0.8823529411764706,102
