date,comp,round,opponent,minutes,goals,assists,shots_total,shots_on_target,crosses,fouled,pens_made,pens_att,xg,npxg,xa,name
2019-08-25,Serie A,Matchweek 1,Sampdoria,90,2,0,5,4,0,3,0,0,1.3,1.3,0.1,Ciro Immobile
2019-09-01,Serie A,Matchweek 2,Roma,90,0,1,7,1,0,1,0,0,0.6,0.6,0.7,Ciro Immobile
2019-09-08,Euro Qualifying,Group stage,Finland,76,1,0,5,2,0,0,0,0,0.5,0.5,0.1,Ciro Immobile
2019-09-15,Serie A,Matchweek 3,SPAL,90,1,0,0,0,1,0,1,1,0.8,0.0,0.1,Ciro Immobile
2019-09-22,Serie A,Matchweek 4,Parma,63,1,0,3,2,2,0,0,0,0.2,0.2,0.2,Ciro Immobile
2019-09-25,Serie A,Matchweek 5,Inter,37,0,0,1,0,0,0,0,0,0.1,0.1,0.0,Ciro Immobile
2019-09-29,Serie A,Matchweek 6,Genoa,86,1,1,2,2,0,1,0,0,0.4,0.4,0.3,Ciro Immobile
2019-10-03,Europa Lg,Group stage,Rennes,90,1,0,3,1,0,1,0,0,0.1,0.1,0.0,Ciro Immobile
2019-10-06,Serie A,Matchweek 7,Bologna,61,2,0,3,2,1,2,0,0,0.2,0.2,0.1,Ciro Immobile
2019-10-12,Euro Qualifying,Group stage,Greece,79,0,0,3,1,0,1,0,0,0.3,0.3,0.0,Ciro Immobile
2019-10-19,Serie A,Matchweek 8,Atalanta,90,2,1,4,0,0,3,2,2,1.8,0.3,0.3,Ciro Immobile
2019-10-24,Europa Lg,Group stage,Celtic,17,0,0,1,0,0,0,0,0,0.1,0.1,0.0,Ciro Immobile
2019-10-27,Serie A,Matchweek 9,Fiorentina,90,1,1,1,1,0,1,0,0,0.0,0.0,0.9,Ciro Immobile
2019-10-30,Serie A,Matchweek 10,Torino,90,2,0,2,2,0,0,1,1,0.9,0.1,0.3,Ciro Immobile
2019-11-03,Serie A,Matchweek 11,Milan,60,1,0,3,2,0,0,0,0,0.4,0.4,0.0,Ciro Immobile
2019-11-07,Europa Lg,Group stage,Celtic,90,1,0,4,1,0,0,0,0,0.4,0.4,0.0,Ciro Immobile
2019-11-10,Serie A,Matchweek 12,Lecce,90,1,1,4,1,1,1,1,1,1.1,0.4,0.2,Ciro Immobile
2019-11-18,Euro Qualifying,Group stage,Armenia,90,2,1,5,3,0,3,0,0,1.5,1.5,0.3,Ciro Immobile
2019-11-24,Serie A,Matchweek 13,Sassuolo,90,1,0,5,2,1,1,0,0,0.3,0.3,0.2,Ciro Immobile
2019-12-01,Serie A,Matchweek 14,Udinese,90,2,0,6,2,0,1,1,1,1.5,0.7,0.1,Ciro Immobile
2019-12-07,Serie A,Matchweek 15,Juventus,85,0,0,5,1,0,1,0,1,1.1,0.2,0.0,Ciro Immobile
2019-12-12,Europa Lg,Group stage,Rennes,68,0,0,1,0,0,3,0,0,0.1,0.1,0.0,Ciro Immobile
2019-12-16,Serie A,Matchweek 16,Cagliari,90,0,0,7,2,0,1,0,0,0.6,0.6,0.0,Ciro Immobile
2019-12-22,Supercoppa Italiana,Supercoppa Italiana,Juventus,82,0,0,3,0,1,2,0,0,,,,Ciro Immobile
2020-01-05,Serie A,Matchweek 18,Brescia,90,2,0,4,1,0,0,1,1,1.0,0.2,0.0,Ciro Immobile
2020-01-11,Serie A,Matchweek 19,Napoli,90,1,0,4,3,1,4,0,0,0.4,0.4,0.1,Ciro Immobile
2020-01-14,Coppa Italia,Round of 16,Cremonese,73,1,0,4,1,1,0,1,1,,,,Ciro Immobile
2020-01-18,Serie A,Matchweek 20,Sampdoria,90,3,0,3,2,0,3,2,2,2.5,1.0,0.3,Ciro Immobile
2020-01-21,Coppa Italia,Quarter-finals,Napoli,90,0,0,7,1,1,1,0,1,,,,Ciro Immobile
2020-01-26,Serie A,Matchweek 21,Roma,90,0,0,1,1,0,0,0,0,0.0,0.0,0.0,Ciro Immobile
2020-02-02,Serie A,Matchweek 22,SPAL,90,2,1,3,3,2,2,0,0,0.6,0.6,0.3,Ciro Immobile
2020-02-05,Serie A,Matchweek 17,Hellas Verona,90,0,0,5,2,0,1,0,0,0.5,0.5,0.0,Ciro Immobile
2020-02-09,Serie A,Matchweek 23,Parma,90,0,0,5,0,0,1,0,0,0.3,0.3,0.2,Ciro Immobile
2020-02-16,Serie A,Matchweek 24,Inter,90,1,0,2,1,0,2,1,1,1.2,0.4,0.1,Ciro Immobile
2020-02-23,Serie A,Matchweek 25,Genoa,90,1,0,2,1,0,0,0,0,0.4,0.4,0.1,Ciro Immobile
2020-02-29,Serie A,Matchweek 26,Bologna,84,0,1,3,1,0,0,0,0,0.6,0.6,0.7,Ciro Immobile
2019-07-26,Bundesliga,Regular Season,Rapid Wien,80,0,1,2,0,0,0,0,0,,,,Erling Haaland
2019-08-04,Bundesliga,Regular Season,Mattersburg,90,1,0,8,1,2,2,1,1,,,,Erling Haaland
2019-08-10,Bundesliga,Regular Season,Wolfsberger AC,90,3,0,5,4,0,3,0,0,,,,Erling Haaland
2019-08-17,Bundesliga,Regular Season,St. Pölten,62,2,1,4,2,0,1,0,0,,,,Erling Haaland
2019-08-25,Bundesliga,Regular Season,Admira,90,1,0,4,2,0,2,0,0,,,,Erling Haaland
2019-08-31,Bundesliga,Regular Season,WSG Wattens,69,1,0,3,1,0,1,0,0,,,,Erling Haaland
2019-09-05,Euro Qualifying,Group stage,Malta,66,0,0,2,0,2,0,0,0,,,,Erling Haaland
2019-09-08,Euro Qualifying,Group stage,Sweden,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,Erling Haaland
2019-09-14,Bundesliga,Regular Season,Hartberg,90,3,2,7,5,1,1,0,0,,,,Erling Haaland
2019-09-17,Champions Lg,Group stage,Genk,72,3,0,3,3,0,0,0,0,1.3,1.3,0.0,Erling Haaland
2019-09-22,Bundesliga,Regular Season,LASK,31,0,0,2,1,0,0,0,0,,,,Erling Haaland
2019-10-02,Champions Lg,Group stage,Liverpool,34,1,0,1,1,0,0,0,0,0.9,0.9,0.0,Erling Haaland
2019-10-19,Bundesliga,Regular Season,Sturm Graz,61,0,0,1,0,0,1,0,0,,,,Erling Haaland
2019-10-23,Champions Lg,Group stage,Napoli,90,2,0,5,3,0,1,1,1,1.4,0.6,0.1,Erling Haaland
2019-10-27,Bundesliga,Regular Season,Rapid Wien,76,1,0,4,2,0,3,0,0,,,,Erling Haaland
2019-11-02,Bundesliga,Regular Season,Mattersburg,45,0,0,1,0,0,1,0,0,,,,Erling Haaland
2019-11-05,Champions Lg,Group stage,Napoli,75,1,0,0,0,0,0,1,1,0.8,0.0,0.0,Erling Haaland
2019-11-10,Bundesliga,Regular Season,Wolfsberger AC,90,3,0,7,5,1,1,0,0,,,,Erling Haaland
2019-11-27,Champions Lg,Group stage,Genk,28,1,1,3,1,0,0,0,0,0.7,0.7,0.3,Erling Haaland
2019-12-01,Bundesliga,Regular Season,Admira,45,0,0,1,1,0,2,0,0,,,,Erling Haaland
2019-12-07,Bundesliga,Regular Season,WSG Wattens,66,1,0,4,2,1,1,0,0,,,,Erling Haaland
2019-12-10,Champions Lg,Group stage,Liverpool,75,0,0,3,1,3,0,0,0,0.3,0.3,0.1,Erling Haaland
2020-01-18,Bundesliga,Matchweek 18,Augsburg,34,3,0,3,3,0,0,0,0,1.5,1.5,0.0,Erling Haaland
2020-01-24,Bundesliga,Matchweek 19,Köln,25,2,0,3,2,0,0,0,0,0.9,0.9,0.0,Erling Haaland
2020-02-01,Bundesliga,Matchweek 20,Union Berlin,77,2,0,2,2,0,2,0,0,0.9,0.9,0.1,Erling Haaland
2020-02-04,DFB-Pokal,Round of 16,Werder Bremen,45,1,0,3,2,0,1,0,0,,,,Erling Haaland
2020-02-08,Bundesliga,Matchweek 21,Leverkusen,90,0,0,2,1,1,0,0,0,0.2,0.2,0.0,Erling Haaland
2020-02-14,Bundesliga,Matchweek 22,Eint Frankfurt,79,1,0,2,1,1,1,0,0,0.5,0.5,0.0,Erling Haaland
2020-02-18,Champions Lg,Round of 16,Paris S-G,90,2,0,4,2,0,0,0,0,0.9,0.9,0.0,Erling Haaland
2020-02-22,Bundesliga,Matchweek 23,Werder Bremen,90,1,0,4,3,2,0,0,0,0.6,0.6,0.2,Erling Haaland
2020-02-29,Bundesliga,Matchweek 24,Freiburg,27,0,0,1,0,1,0,0,0,0.1,0.1,0.0,Erling Haaland
2020-03-07,Bundesliga,Matchweek 25,M'gladbach,90,0,1,2,0,0,0,0,0,0.2,0.2,0.1,Erling Haaland
2020-03-11,Champions Lg,Round of 16,Paris S-G,90,0,0,0,0,0,2,0,0,0.0,0.0,0.0,Erling Haaland
2019-08-03,DFL-Supercup,DFL-Supercup,Dortmund,90,0,0,4,2,0,0,0,0,,,,Robert Lewandowski
2019-08-12,DFB-Pokal,First round,Energie Cottbus,90,1,0,7,3,0,0,0,0,,,,Robert Lewandowski
2019-08-16,Bundesliga,Matchweek 1,Hertha BSC,90,2,0,4,1,0,2,1,1,1.7,1.0,0.0,Robert Lewandowski
2019-08-24,Bundesliga,Matchweek 2,Schalke 04,90,3,0,4,4,0,1,1,1,1.2,0.4,0.0,Robert Lewandowski
2019-08-31,Bundesliga,Matchweek 3,Mainz 05,90,1,0,6,1,1,4,0,0,0.9,0.9,0.0,Robert Lewandowski
2019-09-06,Euro Qualifying,Group stage,Slovenia,90,0,0,1,0,1,3,0,0,,,,Robert Lewandowski
2019-09-09,Euro Qualifying,Group stage,Austria,90,0,0,3,0,2,2,0,0,,,,Robert Lewandowski
2019-09-14,Bundesliga,Matchweek 4,RB Leipzig,90,1,0,5,3,0,2,0,0,1.0,1.0,0.1,Robert Lewandowski
2019-09-18,Champions Lg,Group stage,Red Star,90,1,0,9,4,0,1,0,0,1.7,1.7,0.1,Robert Lewandowski
2019-09-21,Bundesliga,Matchweek 5,Köln,71,2,0,4,2,0,3,0,0,0.6,0.6,0.0,Robert Lewandowski
2019-09-28,Bundesliga,Matchweek 6,Paderborn 07,80,1,0,4,2,0,0,0,0,1.2,1.2,0.0,Robert Lewandowski
2019-10-01,Champions Lg,Group stage,Tottenham,90,2,0,6,3,0,1,0,0,0.6,0.6,0.0,Robert Lewandowski
2019-10-05,Bundesliga,Matchweek 7,Hoffenheim,90,1,0,5,2,1,1,0,0,0.7,0.7,0.1,Robert Lewandowski
2019-10-10,Euro Qualifying,Group stage,Latvia,90,3,0,4,3,1,1,0,0,,,,Robert Lewandowski
2019-10-13,Euro Qualifying,Group stage,North Macedonia,90,0,2,4,0,0,4,0,0,,,,Robert Lewandowski
2019-10-19,Bundesliga,Matchweek 8,Augsburg,90,1,0,6,1,1,0,0,0,0.4,0.4,0.7,Robert Lewandowski
2019-10-22,Champions Lg,Group stage,Olympiacos,90,2,0,3,2,0,0,0,0,0.9,0.9,0.2,Robert Lewandowski
2019-10-26,Bundesliga,Matchweek 9,Union Berlin,90,1,0,6,2,0,3,0,0,1.4,1.4,0.4,Robert Lewandowski
2019-10-29,DFB-Pokal,Second round,Bochum,45,0,0,2,0,0,0,0,0,,,,Robert Lewandowski
2019-11-02,Bundesliga,Matchweek 10,Eint Frankfurt,90,1,0,3,1,0,3,0,0,0.6,0.6,0.0,Robert Lewandowski
2019-11-06,Champions Lg,Group stage,Olympiacos,90,1,0,4,3,1,3,0,0,0.5,0.5,0.2,Robert Lewandowski
2019-11-09,Bundesliga,Matchweek 11,Dortmund,90,2,0,4,2,1,3,0,0,1.4,1.4,0.4,Robert Lewandowski
2019-11-16,Euro Qualifying,Group stage,Israel,27,0,0,2,1,0,0,0,0,,,,Robert Lewandowski
2019-11-19,Euro Qualifying,Group stage,Slovenia,90,1,0,3,3,1,2,0,0,,,,Robert Lewandowski
2019-11-23,Bundesliga,Matchweek 12,Düsseldorf,90,0,1,6,1,1,1,0,0,1.0,1.0,0.4,Robert Lewandowski
2019-11-26,Champions Lg,Group stage,Red Star,77,4,0,8,5,0,1,1,1,3.1,2.3,0.0,Robert Lewandowski
2019-11-30,Bundesliga,Matchweek 13,Leverkusen,90,0,0,4,3,3,1,0,0,0.7,0.7,0.0,Robert Lewandowski
2019-12-07,Bundesliga,Matchweek 14,M'gladbach,90,0,0,3,0,0,1,0,0,0.1,0.1,0.1,Robert Lewandowski
2019-12-14,Bundesliga,Matchweek 15,Werder Bremen,90,2,0,9,5,0,0,0,0,1.9,1.9,0.6,Robert Lewandowski
2019-12-18,Bundesliga,Matchweek 16,Freiburg,90,1,0,3,2,1,0,0,0,0.9,0.9,0.0,Robert Lewandowski
2019-12-21,Bundesliga,Matchweek 17,Wolfsburg,90,0,1,1,1,1,2,0,0,0.0,0.0,0.5,Robert Lewandowski
2020-01-19,Bundesliga,Matchweek 18,Hertha BSC,90,1,0,4,2,1,1,1,1,1.2,0.5,0.0,Robert Lewandowski
2020-01-25,Bundesliga,Matchweek 19,Schalke 04,90,1,1,8,4,0,1,0,0,1.0,1.0,0.8,Robert Lewandowski
2020-02-01,Bundesliga,Matchweek 20,Mainz 05,90,1,0,3,2,2,2,0,0,0.4,0.4,0.3,Robert Lewandowski
2020-02-05,DFB-Pokal,Round of 16,Hoffenheim,81,2,0,4,4,0,0,0,0,,,,Robert Lewandowski
