,date,comp,minutes,goals,assists,shots_total,shots_on_target,crosses,fouled,pens_made,pens_att,xg,npxg,xa,name,game_type,league,min_per_assit,min_per_goal
0,2019-08-25,Serie A,90,2,0,5,4,0,3,0,0,1.3,1.3,0.1,Ciro Immobile,Domestic league,Italy,385,89
1,2019-09-01,Serie A,90,0,1,7,1,0,1,0,0,0.6,0.6,0.7,Ciro Immobile,Domestic league,Italy,385,89
2,2019-09-15,Serie A,90,1,0,0,0,1,0,1,1,0.8,0.0,0.1,Ciro Immobile,Domestic league,Italy,385,89
3,2019-09-22,Serie A,63,1,0,3,2,2,0,0,0,0.2,0.2,0.2,Ciro Immobile,Domestic league,Italy,385,89
4,2019-09-25,Serie A,37,0,0,1,0,0,0,0,0,0.1,0.1,0.0,Ciro Immobile,Domestic league,Italy,385,89
5,2019-09-29,Serie A,86,1,1,2,2,0,1,0,0,0.4,0.4,0.3,Ciro Immobile,Domestic league,Italy,385,89
6,2019-10-03,Europa Lg,90,1,0,3,1,0,1,0,0,0.1,0.1,0.0,Ciro Immobile,Europa league,Italy,385,89
7,2019-10-06,Serie A,61,2,0,3,2,1,2,0,0,0.2,0.2,0.1,Ciro Immobile,Domestic league,Italy,385,89
8,2019-10-19,Serie A,90,2,1,4,0,0,3,2,2,1.8,0.3,0.3,Ciro Immobile,Domestic league,Italy,385,89
9,2019-10-24,Europa Lg,17,0,0,1,0,0,0,0,0,0.1,0.1,0.0,Ciro Immobile,Europa league,Italy,385,89
10,2019-10-27,Serie A,90,1,1,1,1,0,1,0,0,0.0,0.0,0.9,Ciro Immobile,Domestic league,Italy,385,89
11,2019-10-30,Serie A,90,2,0,2,2,0,0,1,1,0.9,0.1,0.3,Ciro Immobile,Domestic league,Italy,385,89
12,2019-11-03,Serie A,60,1,0,3,2,0,0,0,0,0.4,0.4,0.0,Ciro Immobile,Domestic league,Italy,385,89
13,2019-11-07,Europa Lg,90,1,0,4,1,0,0,0,0,0.4,0.4,0.0,Ciro Immobile,Europa league,Italy,385,89
14,2019-11-10,Serie A,90,1,1,4,1,1,1,1,1,1.1,0.4,0.2,Ciro Immobile,Domestic league,Italy,385,89
15,2019-11-24,Serie A,90,1,0,5,2,1,1,0,0,0.3,0.3,0.2,Ciro Immobile,Domestic league,Italy,385,89
16,2019-12-01,Serie A,90,2,0,6,2,0,1,1,1,1.5,0.7,0.1,Ciro Immobile,Domestic league,Italy,385,89
17,2019-12-07,Serie A,85,0,0,5,1,0,1,0,1,1.1,0.2,0.0,Ciro Immobile,Domestic league,Italy,385,89
18,2019-12-12,Europa Lg,68,0,0,1,0,0,3,0,0,0.1,0.1,0.0,Ciro Immobile,Europa league,Italy,385,89
19,2019-12-16,Serie A,90,0,0,7,2,0,1,0,0,0.6,0.6,0.0,Ciro Immobile,Domestic league,Italy,385,89
20,2019-12-22,Supercoppa Italiana,82,0,0,3,0,1,2,0,0,,,,Ciro Immobile,Cup,Italy,385,89
21,2020-01-05,Serie A,90,2,0,4,1,0,0,1,1,1.0,0.2,0.0,Ciro Immobile,Domestic league,Italy,385,89
22,2020-01-11,Serie A,90,1,0,4,3,1,4,0,0,0.4,0.4,0.1,Ciro Immobile,Domestic league,Italy,385,89
23,2020-01-14,Coppa Italia,73,1,0,4,1,1,0,1,1,,,,Ciro Immobile,Cup,Italy,385,89
24,2020-01-18,Serie A,90,3,0,3,2,0,3,2,2,2.5,1.0,0.3,Ciro Immobile,Domestic league,Italy,385,89
25,2020-01-21,Coppa Italia,90,0,0,7,1,1,1,0,1,,,,Ciro Immobile,Cup,Italy,385,89
26,2020-01-26,Serie A,90,0,0,1,1,0,0,0,0,0.0,0.0,0.0,Ciro Immobile,Domestic league,Italy,385,89
27,2020-02-02,Serie A,90,2,1,3,3,2,2,0,0,0.6,0.6,0.3,Ciro Immobile,Domestic league,Italy,385,89
28,2020-02-05,Serie A,90,0,0,5,2,0,1,0,0,0.5,0.5,0.0,Ciro Immobile,Domestic league,Italy,385,89
29,2020-02-09,Serie A,90,0,0,5,0,0,1,0,0,0.3,0.3,0.2,Ciro Immobile,Domestic league,Italy,385,89
30,2020-02-16,Serie A,90,1,0,2,1,0,2,1,1,1.2,0.4,0.1,Ciro Immobile,Domestic league,Italy,385,89
31,2020-02-23,Serie A,90,1,0,2,1,0,0,0,0,0.4,0.4,0.1,Ciro Immobile,Domestic league,Italy,385,89
32,2020-02-29,Serie A,84,0,1,3,1,0,0,0,0,0.6,0.6,0.7,Ciro Immobile,Domestic league,Italy,385,89
33,2019-08-03,DFL-Supercup,90,0,0,4,2,0,0,0,0,,,,Robert Lewandowski,Cup,Germany,574,73
34,2019-08-12,DFB-Pokal,90,1,0,7,3,0,0,0,0,,,,Robert Lewandowski,Cup,Germany,574,73
35,2019-08-16,Bundesliga,90,2,0,4,1,0,2,1,1,1.7,1.0,0.0,Robert Lewandowski,Domestic league,Germany,574,73
36,2019-08-24,Bundesliga,90,3,0,4,4,0,1,1,1,1.2,0.4,0.0,Robert Lewandowski,Domestic league,Germany,574,73
37,2019-08-31,Bundesliga,90,1,0,6,1,1,4,0,0,0.9,0.9,0.0,Robert Lewandowski,Domestic league,Germany,574,73
38,2019-09-14,Bundesliga,90,1,0,5,3,0,2,0,0,1.0,1.0,0.1,Robert Lewandowski,Domestic league,Germany,574,73
39,2019-09-18,Champions Lg,90,1,0,9,4,0,1,0,0,1.7,1.7,0.1,Robert Lewandowski,Champions league,Germany,574,73
40,2019-09-21,Bundesliga,71,2,0,4,2,0,3,0,0,0.6,0.6,0.0,Robert Lewandowski,Domestic league,Germany,574,73
41,2019-09-28,Bundesliga,80,1,0,4,2,0,0,0,0,1.2,1.2,0.0,Robert Lewandowski,Domestic league,Germany,574,73
42,2019-10-01,Champions Lg,90,2,0,6,3,0,1,0,0,0.6,0.6,0.0,Robert Lewandowski,Champions league,Germany,574,73
43,2019-10-05,Bundesliga,90,1,0,5,2,1,1,0,0,0.7,0.7,0.1,Robert Lewandowski,Domestic league,Germany,574,73
44,2019-10-19,Bundesliga,90,1,0,6,1,1,0,0,0,0.4,0.4,0.7,Robert Lewandowski,Domestic league,Germany,574,73
45,2019-10-22,Champions Lg,90,2,0,3,2,0,0,0,0,0.9,0.9,0.2,Robert Lewandowski,Champions league,Germany,574,73
46,2019-10-26,Bundesliga,90,1,0,6,2,0,3,0,0,1.4,1.4,0.4,Robert Lewandowski,Domestic league,Germany,574,73
47,2019-10-29,DFB-Pokal,45,0,0,2,0,0,0,0,0,,,,Robert Lewandowski,Cup,Germany,574,73
